Order Date,Product ID,Category,Warehouse,Supplier,Stock Quantity,Units Sold,Demand Forecast,Lead Time,Shipping Time,Inventory Cost,Revenue,Customer Demand,Unit Cost,Unit Price
2023-09-21,PROD-0053,Grocery,Warehouse-West,Supplier-F,,4.0,41.0,6.0,4.0,15489.99,1151.48,0.0,208.62,287.87
2023-09-26,PROD-0114,Pharmaceuticals,Warehouse-West,Supplier-F,105.0,29.0,17.0,17.0,8.0,1371.02,5250.74,70.0,139.06,181.06
2023-05-07,PROD-0137,Electronics,Warehouse-West,Supplier-D,640.0,57.0,27.0,15.0,2.0,4701.2,10136.31,37.0,123.69,177.83
2023-09-29,PROD-0189,Toys,Warehouse-Central,Supplier-E,789.0,246.0,282.0,12.0,3.0,,,294.0,380.13,513.52
2023-02-16,PROD-0241,Apparel,Warehouse-West,Supplier-F,452.0,203.0,188.0,16.0,5.0,7283.72,85716.75,205.0,239.37,422.25
2024-06-05,PROD-0246,Pharmaceuticals,Warehouse-Central,Supplier-F,99.0,33.0,54.0,10.0,3.0,3411.7,17239.2,16.0,254.05,522.4
2023-01-16,PROD-0024,Cosmetics,Warehouse-South,Supplier-D,496.0,383.0,384.0,12.0,2.0,9003.56,249394.28,405.0,288.82,651.16
2024-09-04,PROD-0012,Toys,Warehouse-East,Supplier-A,576.0,416.0,425.0,10.0,2.0,1564.55,16548.48,403.0,24.29,39.78
2024-08-27,PROD-0154,Grocery,Warehouse-South,Supplier-C,601.0,417.0,393.0,4.0,5.0,15319.76,92553.15,417.0,177.43,221.95
2024-11-06,PROD-0138,Electronics,Warehouse-Central,Supplier-C,456.0,191.0,209.0,3.0,4.0,11009.37,59358.98,232.0,189.15,310.78
2023-02-06,PROD-0012,Toys,Warehouse-North,Supplier-A,694.0,524.0,516.0,3.0,9.0,13780.77,185653.2,516.0,191.98,354.3
2024-11-29,PROD-0019,Cosmetics,Warehouse-North,Supplier-D,611.0,395.0,425.0,9.0,3.0,2512.51,48276.9,426.0,50.19,122.22
2024-05-20,PROD-0111,Cosmetics,Warehouse-Central,Supplier-C,68.0,34.0,15.0,4.0,5.0,3479.96,17790.5,55.0,396.83,523.25
2023-07-05,PROD-0167,Cosmetics,Warehouse-South,Supplier-A,132.0,34.0,90.0,11.0,2.0,7597.61,37689.68,30.0,484.48,1108.52
2023-09-10,PROD-0230,Automotive,Warehouse-Central,Supplier-B,167.0,26.0,61.0,5.0,5.0,2175.06,7271.94,22.0,120.45,279.69
2024-05-25,PROD-0071,Apparel,Warehouse-North,Supplier-C,300.0,131.0,136.0,6.0,3.0,12373.49,89412.74,129.0,389.69,682.54
2023-02-08,PROD-0126,Cosmetics,Warehouse-East,Supplier-B,172.0,125.0,152.0,8.0,9.0,7584.8,70417.5,167.0,373.38,563.34
2024-05-22,PROD-0113,Cosmetics,Warehouse-North,Supplier-D,823.0,116.0,91.0,12.0,5.0,3104.73,7356.72,131.0,26.48,63.42
2023-08-15,PROD-0147,Grocery,Warehouse-West,Supplier-F,440.0,46.0,64.0,14.0,1.0,15059.13,34432.84,82.0,315.64,748.54
2023-01-12,PROD-0074,Apparel,Warehouse-West,Supplier-C,unknown,155.0,132.0,4.0,8.0,7934.9,36280.85,175.0,179.91,234.07
